text,label,label_name
"Video: Trump Voter Dragged from His Car, Brutally Beaten, and Robbed by Gang of Hillary Supporters | Daily Wire Video: Trump Voter Dragged from His Car, Brutally Beaten, and Robbed by Gang of Hillary Supporters By: Chase Stephens November 10, 2016 
A YouTube video that's making the rounds appears to show a man being beaten and robbed in the middle of the street by a group laughing and shouting that he voted for Trump. 
In the clip (below), what appears to be a middle-aged white man is on the ground while two younger black males are hitting and kicking him in the head. The camera person yells, ""Happens when you vote Trump, dummy,"" while a woman next to him shouts, ""You voted Trump? You voted Trump? Damn! Yeah, he voted Trump! Damn!"" 


The man continues to struggle against his two attackers until he gets up and sees that a woman, presumably associated with the attackers, is going through the his car looking for valuables. 
""Get out of my car,"" the man yells as he approaches the women, who shouts back, ""You're gonna pay for my shit!"" One of the attackers returns and starts punching the man from behind in the back of the head and then continues swinging as the man turns around. 
The camera man and his companion continue their color commentary by laughing and yelling, ""Beat his ass! Don't vote Trump! Don't vote Trump!"" 
The video ends with the group acknowledging that they should leave before the police arrive. 
In the longer version of the video (below) posted on Twitter, one of the attackers gets into the driver's seat and closes the door. The beaten Trump supporter stands at the car window, presumably telling the thief to get out, as the woman starts to punch him in the back of the head and is joined by the second attacker. 
The criminal then hits the gas and takes off in the car as the man desperately holds on from outside through the rear door's window while being dragged through the streets. 
(Warning: strong language) Blacks beat white man, steal car, dragging his body. Fbook vid caption: ""They Caught A Trump Already"" @prisonplanet @Cernovich @JaredWyand pic.twitter.com/yWSX7QdQGH — Sculder Mully 2016 (@MiddleOfMayhem) November 10, 2016 
In case YouTube continues to take down the video, a third version is posted below : 
",1,Real
"Hillary Clinton's worst nightmare: Hint -- it's not Bernie Sanders Hillary Clinton’s nightmare is not the sudden resurgence of Bernie Sanders. It is the fidelity to the rule of law of the FBI.

The recent revelations of the receipt by Clinton of a Special Access Program email, as well as cut and pasted summaries of state secrets on her server and on her BlackBerry nearly guarantee that the FBI will recommend that the Department of Justice convene a grand jury and seek her indictment for espionage. Here is the backstory.

It seems that every week, more information comes to light about Clinton’s grave legal woes. Her worries are in two broad categories: One is her well-documented failure to safeguard state secrets and the other is her probable use of her position as secretary of state to advance financially her husband’s charitable foundation. The FBI is currently and aggressively investigating both. What I will describe below is in the state secrets category. It is apparently not new to the FBI, but it is new to the public.

Among the data that the FBI either found on the Clinton server or acquired from the State Department via its responses to Freedom of Information Act requests is a top-secret email that has been denominated Special Access Program. Top secret is the highest category of state secrets (the other categories are confidential and secret), and of the sub-parts of top secret, SAP is the most sensitive.

SAP is clothed in such secrecy that it cannot be received or opened accidentally. Clinton -- who ensured all of her governmental emails came to her through her husband’s server, a nonsecure nongovernmental venue -- could only have received or viewed it from that server after inputting certain codes. Those codes change at unscheduled times, such that she would need to inquire of them before inputting them.

The presence of the SAP-denominated email on her husband’s server, whether opened or not, shows a criminal indifference to her lawful obligation to maintain safely all state secrets entrusted to her care. Yet, Clinton has suggested that she is hopelessly digitally inept and may not have known what she was doing. This constitutes an attempted plausible deniability to the charge of failing to safeguard state secrets.

But in this sensitive area of the law, plausible deniability is not an available defense; no judge would permit the assertion of it in legal filings or in a courtroom, and no lawyer would permit a client to make the assertion.

This is so for two reasons. First, failure to safeguard state secrets is a crime for which the government need not prove intent. The failure can be done negligently. Thus, plausible deniability is actually an admission of negligence and, hence in this case, an admission of guilt, not a denial.

Second, Clinton signed an oath under penalty of perjury on Jan. 22, 2009, her first full day as secretary of state. In that oath, she acknowledged that she had received a full FBI briefing on the lawfully required care and keeping of state secrets. Her briefing and her oath specified that the obligation to safeguard state secrets is absolute -- it cannot be avoided or evaded by forgetfulness or any other form of negligence, and that negligence can bring prosecution.

What type of data is typically protected by the SAP denomination? The most sensitive under the sun -- such as the names of moles (spies working for more than one government) and their American handlers, the existence of black ops (illegal programs that the U.S. government carries out, of which it will deny knowledge if exposed), codes needed to access state secrets and ongoing intelligence gathering projects.

The crime here occurs when SAPs are exposed by residing in a nonsecure venue; it does not matter for prosecution purposes whether they fell into the wrong hands.

Clinton’s persistent mocking of the seriousness of all this is the moral equivalent of taunting alligators before crossing a stream. SAPs are so sensitive that most of the FBI agents who are investigating Clinton lack the security clearances needed to view the SAP found among her emails. Most FBI agents have never seen a SAP.

Shortly after the presence of the SAP-denominated email was made known, the State Department released another email Clinton failed to erase wherein she instructed her subordinates to take state secrets from a secure venue, to cut and paste and summarize them, and send them to her on her nonsecure venue. Such an endeavor, if carried out, is a felony -- masking and then not safeguarding state secrets. Such a command to subordinates can only come from a criminal mind.

Equally as telling is a little-known 2013 speech that recently surfaced given by one of Clinton’s former subordinates. The aide revealed that Clinton and her staff regularly engaged in digital conversations about state secrets on their BlackBerries. This is not criminal if the BlackBerries were government-issued and secured. Clinton’s was neither. It was purchased at her instructions off the shelf by one of her staff.

Can anyone doubt that Clinton has failed to safeguard state secrets? If her name were Hillary Rodham instead of Hillary Rodham Clinton, she’d have been indicted months ago.

What remains of the rule of law in America? The FBI will soon tell us.

Andrew P. Napolitano, a former judge of the Superior Court of New Jersey, is the senior judicial analyst at Fox News Channel.",0,Fake
" Donald Trump Has A Much Bigger Problem With Speaking Fees Than Clinton Ever Did For months now, the right and some on the left have been politicizing the fact that Hillary Clinton, like virtually all people who have been in positions of power, gets paid to speak for large audiences. Clinton earns large paychecks for the speaking engagements   around $200k a piece, much of which has been donated to the Clinton Foundation. So why doesn t anyone talk about the fact that Donald Trump made far more in speaking fees for a company that is essentially a pyramid scheme?Well, to be fair, the right-wing Daily Caller is talking about it.Trump s presidential financial disclosure, which was released on Wednesday by the Federal Election Commission, shows that he has been paid $450,000 each for three speeches given on behalf of ACN Inc., a North Carolina-based  multi-level marketing  company. The celebrity and real estate billionaire spoke most recently at ACN s annual convention which was held in Charlotte in February.Trump first became involved with ACN in 2006. In 2009 and 2011, company executives appeared on the mogul s NBC reality show,  Celebrity Apprentice.  During one of those episodes, a video phone ACN was selling was a featured product.Like all multilevel marketing companies, ACN (American Communications Network) is more about recruiting people   people who have to pay $499 just for the privilege of selling products plus an annual fee and training expenses. That s all kind of standard, but Robert Fitzpatrick, who runs the website called Pyramid Scheme Alert, says ACN is one of the worst. They don t seem to care about sales at all, but they do care about offering false hope and Trump is part of that.I ll let this video tell you more:Here s another:There are negative reviews all over the internet about ACN. While they have an A+ rating with the Better Business Bureau, that s only after the Bureau had to field 203 complaints over the last three years.It s doubtful Trump cares. Trump sells his name to anything that might give him a profit. Trump University should be enough to show that Trump is a scam artist and a fraudster. The fact that Trump chose to get in bed with a Multilevel Marketing Company with dubious, at best, ethics, says all we need to know about the man who could be president.Featured image via Jonathan Bachman/Getty Images.",1,Real
" ‘Fraud’: Major Veterans Group Accuses Trump Of Ripping Off Soldiers The military veterans group VoteVets is blasting presumptive Republican presidential nominee Donald Trump as a  fraud,  after it was revealed that his claim that he raised $6.5 million for veterans was a lie.A Washington Post report uncovered the truth behind yet another wild Trump statement:One night in January, Donald Trump skipped a GOP debate and instead held his own televised fundraiser for veterans. At the end of the night, Trump proclaimed it a huge success:  We just cracked $6 million, right? Six million. Now, Trump s campaign says that number is incorrect.Campaign manager Corey Lewandowski said the fundraiser actually netted about $4.5 million, or 75 percent of the total that Trump announced.Trump used the $6 million figure as a public relations talking point for himself in the days following the fundraiser, while he campaigned for votes in the Republican primary. Yet when asked by the Post to account for all of the money he allegedly collected, Trump refused. Paul Rieckhoff, founder of Iraq and Afghanistan Veterans of America, told the Post,  That s just shady. Right? No matter how you cut it, that s just shady. Now VoteVets has responded to the Post article, and they are also blasting Trump for the way he used the veteran s issue to boost his own profile, while giving soldiers less than he promised.Responding to the story, Iraq War Veteran and Chairman of VoteVets.org, Jon Soltz said: Donald Trump is a cheap fraud.  In a classic fraud move, made himself look good to the public, by lying to the American people, and veterans, about how much he raised for veterans  groups, when he hid behind them to get out of the GOP debate.  He said he raised $6 million.  Now, when investigated by reporters, he finally admits that he overstated the amount by millions, and never raised what he told people he did.  In fact, there may still be groups who are waiting for their check. Soltz further notes,  We now need to presume that he is lying about how much he claims he has given to veterans over the years, and that s part of the reason he won t release his taxes. VoteVets describes itself as an organization with over 400,000 supporters that uses  public issue campaigns and direct outreach to lawmakers to ensure that troops abroad have what they need to complete their missions, and receive the care they deserve when they get home. Featured image via Flickr",1,Real
"New Jersey 'Bridgegate' judge delays closing arguments NEWARK, N.J. (Reuters) - Closing arguments in New Jersey’s “Bridgegate” trial were unexpectedly postponed by a day on Thursday because of an unspecified “legal issue” that must be resolved, the trial judge said.  U.S. prosecutors in Newark had been scheduled to begin summing up the evidence against two former allies of Governor Chris Christie who are accused of orchestrating lane closures at the busy George Washington Bridge to New York City in September 2013 in an act of political retribution. U.S. District Judge Susan Wigenton told jurors to return on Friday morning for closing arguments, which are now expected to last into Monday. Prosecutors and defense lawyers, who also left for the day, declined to comment on the nature of the issue. Jurors have heard more than a month of testimony in the trial of Bridget Anne Kelly, Christie’s former deputy chief of staff, and Bill Baroni, former deputy executive director of the Port Authority of New York and New Jersey, operator of the bridge. Prosecutors say the two conspired with another Port Authority executive, David Wildstein, to create massive gridlock in Fort Lee, New Jersey, to punish the town’s mayor for refusing to back Christie’s 2013 reelection campaign. The scandal damaged Christie’s political standing as he was beginning a campaign for the Republican presidential nomination. The governor is a top adviser to Republican presidential nominee Donald Trump. Christie, who has not been charged with wrongdoing, has said he was unaware of the lane closings at the time. But testimony at the trial from several witnesses have contradicted Christie’s claim. Wildstein, who pleaded guilty and testified for the government, said he and Baroni discussed the plot with Christie as it was unfolding. Baroni and Kelly each took the stand and said they spoke with Christie about the lane closures, though they said they believed that the closures were part of a legitimate traffic study. Kelly, who cried several times during her testimony, portrayed Christie as a demanding and bullying boss who once flung a water bottle at her in anger. She was the author of an infamous email sent to Wildstein that said, “Time for some traffic problems in Fort Lee,” a message prosecutors say set the scheme in motion. But Kelly told jurors that she was simply parroting the language Wildstein had used in describing the potential gridlock caused by what she believed was a Port Authority-approved traffic study. ",0,Fake
"Myanmar forces may be guilty of genocide against Rohingya, U.N. says GENEVA (Reuters) - Myanmar s security forces may be guilty of genocide against the Rohingya Muslim minority and more of them are fleeing despite a deal between Myanmar and Bangladesh to send them home, the top U.N. human rights official said on Tuesday. The United Nations defines genocide as acts meant to destroy a national, ethnic, racial or religious group in whole or in part. Such a designation is rare under international law, but has been used in contexts including Bosnia, Sudan and an Islamic State campaign against the Yazidi communities in Iraq and Syria. Zeid Ra ad al-Hussein, U.N. High Commissioner for Human Rights, was addressing a special session of the Human Rights Council which later adopted a resolution condemning  the very likely commission of crimes against humanity  by security forces and others against Rohingya. Myanmar s ambassador Htin Lynn said his government  dissociated  itself from the text and denounced what he called  politicisation and partiality . Zeid, who has described the campaign in the past as a  textbook case of ethnic cleansing , said that none of the 626,000 Rohingya who have fled violence to Bangladesh since August should be repatriated to Myanmar unless there was robust monitoring on the ground. He described reports of  acts of appalling barbarity committed against the Rohingya, including deliberately burning people to death inside their homes, murders of children and adults; indiscriminate shooting of fleeing civilians; widespread rapes of women and girls, and the burning and destruction of houses, schools, markets and mosques .  Can anyone - can anyone - rule out that elements of genocide may be present?  he told the 47-member state forum. Shahriar Alam, Bangladesh s junior foreign affairs minister, told the session in Geneva that his country was hosting nearly one million  Myanmar nationals  following executions and rapes. These crimes had been  perpetrated by Myanmar security forces and extremist Buddhist vigilantes , Alam said, calling for an end to what he called  xenophobic rhetoric..including from higher echelons of the government and the military . Mainly Buddhist Myanmar denies the Muslim Rohingya are its citizens and considers them foreigners.  China s foreign ministry spokesman Geng Shuang on Wednesday told a regular news briefing that the resolution would not resolve or alleviate the situation.  It could further complicate the issue and have a negative impact on Myanmar and Bangladesh implementing the repatriation agreement,  he said. China has supported Myanmar in the face of international criticism and has taken an increasingly active role in the issue, with foreign minister Wang Yi recently proposing a three step resolution during a visit to Myanmar. But Nicholas Bequelin, East Asia director at Amnesty International, said in a statement that by voting against the resolution China has proved itself  woefully out of step  with world opinion and is serving to  preserve impunity for horrific crimes . Marzuki Darusman, head of an independent international fact-finding mission on Myanmar, said by video from Malaysia that his team has interviewed Rohingya refugees, including children in the Bangladeshi port city of Cox s Bazar, who recounted  acts of extreme brutality  and  displayed signs of severe trauma . Myanmar has not granted the investigators access to Rakhine, the northern state from which the Rohingya have fled, Darusman said.  We maintain hope that it will be granted early in 2018.  Pramila Patten, special envoy of the U.N. Secretary-General on sexual violence in conflict, who interviewed survivors in Bangladesh in November, said she had heard accounts of  rape, gang rape by multiple soldiers, forced public nudity and humiliation, and sexual slavery in military captivity . Myanmar denies committing atrocities against the Rohingya. Its envoy Htin said:  People will say what they wanted to believe and sometimes they will say what they were told to say.  ",0,Fake
" Cop Who Killed Mentally Ill Teen Sues Victim’s Family For $10 Million Dollars (VIDEO) Chicago police officer Robert Rialmo shot and killed Quintonio LeGrier, a mentally ill college student, in his family s home the day after Christmas in 2015. One of the police officer s rounds also struck and killed their 55-year-old neighbor, Bettie Jones. Now Rialmo is suing LeGrier s family for emotional distress. Ther are 911 calls that show that LeGrier called the police three times only to be hung up on by the dispatcher.How much does Rialmo think that the emotional distress he has endured is worth? $10 million dollars. Seriously, this cop thinks that he can kill this family s son and neighbor, get away with it, and then make away with a fortune.The Chicago Tribune reports: Rialmo s lawsuit provides the officer s first public account of the Dec. 26 shooting in the West Garfield Park neighborhood. It says Rialmo opened fire after Quintonio LeGrier twice swung a bat at his head at close range, and LeGrier was shot when Rialmo saw him raising the bat again and thought LeGrier could kill him if LeGrier hit him in the head with the bat.LeGrier s father, Antonio LeGrier, had filed a wrongful death lawsuit saying his son wasn t a threat, and Rialmo s lawsuit, which asks for damages of more than $10 million, is a countersuit in that case. Rialmo also fatally shot Antonio LeGrier s neighbor Bettie Jones, 55, in the confrontation, but police have said her death was accidental. In 2015, the police killed more than 1,000 people in the United States. That s a staggering figure. What s even worse is that none of those police officers have been prosecuted for any potential wrongdoing. In the United States, if you are a cop   you can kill someone and not have to worry about the consequences. Apparently that is not good enough for some cops. They saw how fast Darren Wilson got rich after he killed Michael Brown and have decided to get in on the action.You can watch a video report on the story, below. Featured image from video screenshot via YouTube ",1,Real
"Raqqa/Mosul: Politicians Fiddle As Middle East Burns Written by Daniel McAdams   While Americans were obsessing about tomorrow's election, the Obama Administration launched a serious military escalation in Syria. US Special Forces on the ground and jet fighters in the air are deployed in an operation to take Raqqa from ISIS control. Chairman of the Joint Chiefs of Staff, General Dunford announced over the weekend that the US and Turkey agreed on a long-term plan for ""seizing, holding and governing"" the Syrian city. Is this the beginning of a US-recognized rival Syrian government, as Benghazi was in Libya? We discuss in today's Liberty Report: Copyright © 2016 by RonPaul Institute. Permission to reprint in whole or in part is gladly granted, provided full credit and a live link are given.",1,Real
"THE AMERICAN PUBLIC CAN NO LONGER DEAL WITH THE LIMITLESS CORRUPTION OF THEIR GOVERNMENT Home › ECONOMIC › THE AMERICAN PUBLIC CAN NO LONGER DEAL WITH THE LIMITLESS CORRUPTION OF THEIR GOVERNMENT THE AMERICAN PUBLIC CAN NO LONGER DEAL WITH THE LIMITLESS CORRUPTION OF THEIR GOVERNMENT 8 SHARES 
[10/28/16] MARY WILDER -The federal government has really been dropping the ball over the last few decades. Time and time again they prove that they are completely untrustworthy and do not care about the citizens of the United States’ best interests. As the recent Wikileaks emails have proven beyond a shadow of a doubt, those that hold positions of power within the federal government are owned by the corporations that continue to put financial gain over individual freedom. It’s a scary reality, but there’s no denying it any longer. 
Unfortunately this has been what Americans deal with for decades now. Nothing has ever been done about it because the American people felt as though there is nothing they could do in order to stop it. However, it appears as though we have lately gotten to the point where we are unwilling to put up with the corruption of our government any longer. 
In an article published on The Daily Sheeple , Charles Hugh Smith writes that the ruling elite “have bamboozled, conned and misled the bottom 95% for decades, but their phony facade of political legitimacy and ‘the rising tide raises all boats’ has cracked wide open, and the machinery of oppression, looting and propaganda is now visible to everyone who isn’t being paid to cover their eyes.” 
So what does this realization mean for the future of America? Hopefully that the rest of our country will continue waking up and opening their eyes to the truth. The longer the masses avoid the acknowledging the truth in regards to the federal government, the longer their control over the American people will last. During a time when our individual liberties are under attack every day, there is nothing more important than sending the message that we control our own lives. 
Of course, it is also extremely important to prepare for retaliation. These are people whose entire existence revolves around being able to control the populous. They are most likely not going to go down without a fight. When we begin rejecting their corruption on a mass level, they will definitely do everything in their power to silence the outspoken ones. You could argue that it has already begun in regards to social media. Other forms of expression are probably next. 
Human lives should be more valued than big governments. It’s time that we all realize that and completely reject the global elite’s plans to enslave us all. Our lives very well could depend on it. Post navigation",1,Real
"Beijing proudly unveils mega-airport due to open in 2019 BEIJING (Reuters) - China s capital unveiled the  shining example  of its 80 billion yuan ( 9.1 billion) new airport on Monday, tipped to become one of the world s largest when it opens in October 2019 amid a massive infrastructure drive overseen by President Xi Jinping.   Representatives showed off the sprawling skeleton of  Beijing New Airport , which is made up of 1.6 million cubic meters of concrete, 52,000 tonnes of steel and spans a total 47 sq km (18 sq miles), including runways.  It is expected to serve an initial 45 million passengers a year with an eventual capacity of 100 million, putting it on par with Hartsfield-Jackson Atlanta International Airport.   Lined up together there s roughly 5 km of gates,  said project spokesman Zhu Wenxin.  It s a shining example of China s national production capacity.   Updates on the airport come as the ruling Communist Party is set to open its 19th congress later this week, a twice-a-decade leadership event where Xi will consolidate power and emphasize successful projects and policy from his first five years. The project, which broke ground in 2014, is one of the region s largest infrastructure investments under Xi s rule, which has been plagued by fears of slowing economic growth, offset slightly by a construction spree. China has sought to boost its profile as both an aviation hub and a manufacturer in recent years. The country s first home-grown passenger jet, the C919, lifted off on its maiden flight in May, edging into a multibillion-dollar market currently dominated by Boeing Co and Airbus SE. Situated 67 km south of Beijing, the airport technically falls in neighboring Hebei province, though it will eventually constitute its own development zone. It will relieve pressure on Beijing s existing international airport, to the northeast of Beijing and currently the world s second largest by passenger volume, which opened a new terminal worth $3.6 billion ( 2.7 billion) in 2008 ahead of the Beijing Summer Olympics.  The existing airport will continue to operate major international flights, though a third smaller domestic airport in the city s south will close in coming years.   Two of China s three major airlines, China Eastern Airlines Corp and China Southern Airlines Co, will relocate to the airport on completion, accounting for roughly four-fifths of the new airport s total traffic. The airport will be connected to Beijing by a high speed train with a top speed of 350 km an hour, as well as an inter-city train and a major expressway.  Original plans for the airport were made by French airports operator Aeroports de Paris, though third-party improvements to the original version make the final design  wholly domestic , said Zhu.  It s like a large flower, but made of steel,  said one construction worker on the site, who declined to share his name because he was not authorized to speak to press. ",0,Fake
